input,output
آنها موفق شدند؟,محققان آلمانی موفق به تولید بمب اتمی نشدند
کشور دیگری هم بعد از آمریکا به ساخت بمب اتم دست یافت؟,اتحاد جماهیر شوروی سوسیالیستی اولین آزمایش اتمی خود را با موفقیت انجام داد و غرب را در وحشت فرو برد
به تنهایی موفق به ساخت آن شد؟,کلاوس فیوکس یکی از فیزیکدانان آلمانی که در رابطه با مواد فوق انفجاری (High Explosive) با تیم اوپنهایمر همکاری می‌کرد، طرح‌ها و جزئیات طراحی بمب آزمایش شده در ترینیتی را در اختیار جاسوسان شوروی قرار داد
امروزه کدام کشورها فناوری ساخت بمب اتم را دارند؟,غیرقابل‌پاسخ
کدام کشور برای اولین بار از بمب اتم استفاده کرد؟,ایالات متحده آمریکا را به عنوان اولین کشور استفاده‌کننده از سلاح اتمی در تاریخ بشریت ثبت نمود
در کجا از آن استفاده کرد؟,بمب موسوم به پسر کوچک را بر شهر هیروشیما ژاپن منفجر ساخت
ماده منفجره آن چه بود؟,در طراحی آن از ۶۴ کیلوگرم اورانیوم استفاده شده بود
و شدت انفجار آن چقدر بود؟,با شدتی معادل با انفجار ۱۵ هزار تن TNT منفجر شد
دلیل این حمله چه بود؟,غیرقابل‌پاسخ
چند نفر بر اثر این حمله کشته شدند؟,مجموع تلفات اولیه و کشته شدگان ناشی از عوارض این انفجار را بالغ بر ۱۴۰۰۰۰ نفر تخمین می‌زنند
آمریکا باز هم از بمب اتم استفاده کرد؟,سه روز بعد در ۹ اوت انفجار بمب مرد چاق در شهر ناگازاکی ژاپن موجب کشتار ۷۴۰۰۰ نفر انسان دیگر شد
و ماده منفجره آن چه بود؟,این بمب که از پلوتونیوم به عنوان ماده شکافت پذیر استفاده می‌کرد
و شدت این انفجار چقدر بود؟,انفجاری به شدت ۲۱ کیلوتن TNT ایجاد کرد
اثرات استفاده از این بمب چیست؟,غیرقابل‌پاسخ
آمریکا به بمب هیدروژنی هم دست یافت؟,ایالات متحده جهت حفظ برتری تسلیحاتی خود، تحقیق برای ساخت بمب گرماهسته‌ای (هیدروژنی) را آغاز کرد
مسئولیت این پروژه با چه کسی بود؟,ادوارد تلر هدایت عملی پروژه ساخت بمب هیدروژنی را برعهده گرفت
با همکاری دیگر کشورها آن را ساخت؟,غیرقابل‌پاسخ
آمریکا این بمب هم امتحان کرد؟,نخستین آزمایش بمب گرما-هسته‌ای با اسم رمز مایک در نوامبر سال ۱۹۵۲ در جزیره کوچکی به نام الوگالب در جزایر مارشال انجام شد
عناصر اصلی سازنده این بمب چه بودند؟,در این سیستم مستقیما از ایزوتوپ‌های دوتریوم و تریتیوم مایع استفاده می‌شد، به آن لقب بمب خیس داده بودند
و شدت انفجارش چقدر بود؟,شدت انفجار معادل ۱۰٫۴ مگاتن تی‌ان‌تی بود
بر اثر این بمب کسی هم کشته شد؟,غیرقابل‌پاسخ
و اثرات استفاده از این بمب چه بود؟,نتایج انفجار بسیار هراسناک بود. قطر گوی آتشین حاصل از این انفجار به ۵ کیلومتر رسید. جزیره الوگالب تقریبا تبخیر شد و حفره‌ای به عمق ۸۰۰ متر و شعاع دهانه ۳ کیلومتر برجای ماند
علائم بیماری کرونا چیست؟,علائم می‌توانند شامل: تب (در۴۳/۸ درصد افراد هنگام پذیرش و در ۸۸/۷ درصد افراد هنگام بستری)، سرفه خشک (در ۶۷/۸ درصد موارد)، اختلال تنفسی، احساس ضعف و خستگی و درد عضلانی (در ۱۱ تا ۱۴٪ موارد)، اسهال (در ۳٫۸ درصد موارد) باشند
چند روز طول میکشد تا علائم بروز کند؟,به‌طور میانگین، دورهٔ نهفتگی علائم، چهار روز بوده‌است
درمان آن چقدر طول میکشد؟,غیرقابل‌پاسخ
بر چه عضوهایی از بدن اثر دارد؟,کروناویروس مرس، برخلاف سارس، نه تنها دستگاه تنفس بلکه ارگان‌های حیاتی دیگر بدن مثل کلیه و کبد را نیز درگیر می‌کند. در موارد حاد مشکلات گوارشی نظیر اسهال، نارسایی تنفسی، اختلالات انعقادی خون و نارسایی کلیه نیز گزارش شده‌است
منجر به مرگ هم میشود؟,اما این بیماری در افراد دیگر می‌تواند منجر به مشکلات جدی مانند ذات الریه، عدم دریافت اکسیژن کافی و حتی مرگ شود
پروتئاز چیست؟,پروتئاز (به انگلیسی: Protease) به آنزیم‌هایی گفته می‌شود که باعث تجزیه پروتئین‌ها می‌شوند
در بدن انسان چقدر از آنها وجود دارد؟,در انسان تاکنون بیش از ۵۰۰ پروتئاز شناسایی شده‌است که به‌طور متوسط در هر سلول د رهر شرایط خاص حدود ۲۰۰ تا از آن‌ها بیان می‌شوند
و فقط در بدن انسان ها وجود دارند؟,غیرقابل‌پاسخ
چه کاربردی دارند؟,پروتئازها در کنترل فعالیت‌های سلولی اهمیت زیادی دارند. در سلول‌های مختلف انواع زیادی از پروتئازها در هر زمان مشخص بیان می‌شوند. برای مثال: تعداد زیادی از پروتئین‌هایی که در سلول‌ها بیان می‌شوند به فرم غیرفعال هستند. برای اینکه این پروتئین‌ها فعال شوند باید توسط پروتئازها پردازش شوند
مثلا چه پروتئین هایی؟,بسیاری از پروتئین‌ها مانند آنزیم‌ها، سایتوکین‌ها، هورمون‌های رشد، رسپتورهای سلولی و…، به این روش فعال می‌شوند
آسیب به سیستم پردازش پروتئولیتیکی عوارضی در پی دارد؟,نقص در این سیستم پردازش پروتئولایتیکی همچنین می‌تواند منجر به بیماری‌هایی مانند سرطان، آرتریت، بیماری‌های نورودژنراتیو و بیماری‌های قلبی عروقی شود
منظور از دگرادوم چیست؟,به کلیه پروتئازها و سوبستراهای آن‌ها که در یک زمان مشخص و تحت یک شرایط خاص در یک سلول بیان می‌شوند، دگرادوم آن سلول گفته می‌شود
لیزوزوم چیست؟,کیسه‌ای است غشایی (غشادار) که دارای آنزیم‌های تجزیه‌کننده است
نام دیگری هم دارد؟,لیزوزوم (به انگلیسی: Lysosome) یا کافنده‌تن
ساختار آن چگونه است؟,غیرقابل‌پاسخ
قابل مشاهده است؟,لیزوزوم‌ها با میکروسکوپ الکترونی به صورت گرانول‌های متراکمی مشاهده می‌شوند که ۰٫۵ تا ۰٫۰۵ میکرون قطر دارند و به وسیلهٔ غشا محصور شده‌اند
توسط چه دستگاهی ساخته میشود؟,این اندامک از دستگاه گلژی یا شبکه آندوپلاسمی به‌وجود آمدند
چند نوع آنزیم دارد؟,لیزوزوم‌ها حاوی تقریبا ۵۰ نوع آنزیم هستند که همه آن‌ها در PH اسیدی فعالند؛ بنابراین لیزوزوم دستگاه گوارش سلول محسوب می‌شود
این آنزیم ها در کجا ساخته میشوند؟,این آنزیم‌ها در شبکه آندوپلاسمی ساخته می‌شوند و پس از ورود به دستگاه گلژی، توسط آبدانه‌ها به لیزوزوم منتقل می‌شوند
نبود این آنزیم ها مشکلی ایجاد میکند؟,اگر این آنزیم‌ها نباشند هیچ سلولی نمی‌توانست آنزیم هیدرولیز کننده در خود داشته باشد و به مرور مولکول‌های بزرگی که امکان هضم آن‌ها وجود ندارد، در سیتوزول جمع می‌شوند. این مولکول‌ها در فعالیت و واکنش‌های موجود در سلول اختلال ایجاد می‌کنند و سلول با مشکل مواجه می‌شود
لیزوزوم چه کارکردی دارد؟,مجموعه‌ای از تجزیه‌کنندگان درون سلول (یاخته) است که وظیفه خارج کردن مواد بیماری‌زا و میکروب‌ها را از درون سلول دارد
در چه محیطی خیلی خوب این کارکرد صورت میگیرد؟,بهترین عملکرد این آنزیم‌ها در محیط اسیدی (pH=۵) صورت می‌گیرد
اگر ph بالاتر رود چه میشود؟,پس اگر این آنزیم‌ها به سیتوپلاسم (pH=۷٫۴) نشت کنند، فعالیت زیادی را نشان نمی‌دهند ولی اگر آنزیم‌های آزاد شده از تعداد زیادی از لیزوزوم‌ها باشد می‌تواند به واسطه فرایند خود گوارشی منجر به تخریب و انهدام سلول شود
به چه روزی نوروز گفته می‌شود؟,نخستین روز سال خورشیدی ایرانی برابر با یکم فروردین ماه
در سال میلادی معادل چه روزی است؟,بیشتر سال‌ها با ۲۱ و گاه ۲۰ و به‌ندرت ۲۲ مارس
در چه کشورهایی سال نو با این روز آغاز می‌شود؟,ایران و افغانستان
آیا کشورهایی دیگر هم این روز را جشن می‌گیرند؟,در برخی دیگر از کشورها یعنی تاجیکستان، روسیه، قرقیزستان، قزاقستان، سوریه، عراق، گرجستان، جمهوری آذربایجان، آلبانی، چین، ترکمنستان، هند، پاکستان و ازبکستان تعطیل رسمی است و مردمان آن جشن را برپا می‌کنند
ادیان دیگر هم جشن می‌گیرند؟,این روز همچنین یکی از روزهای مقدس و اعیاد مذهبی زرتشتیان و بهاییان نیز به‌شمار می‌رود
آیا این روز به ثبت جهانی رسیده؟,نوروز، با عنوان رسمی «روز بین‌المللی نوروز»، توسط یونسکو به عنوان میراث فرهنگی و معنوی بشر به ثبت جهانی رسیده‌است
ایرانیان نوروز را نماد چه چیزی می‌دانند؟,نماد پیوند دهنده افراد و اقوام ایرانی و ملت ایران یاد می‌شود. ایرانیان نوروز را آغازگر رستاخیز طبیعت، گاه رویش و زایش باغ و بوستان می‌دانند
نخستین بار نوروز را چه اقوامی از ایران جشن گرفتند؟,غیرقابل‌پاسخ
از نمادهای نوروز چیست؟,غیرقابل‌پاسخ
معیار امید به زندگی چه چیزی را اندازه‌گیری می‌کند؟,اعضای یک جامعه به طور میانگین چقدر عمر می‌کنند، یا به عبارت دیگر، انتظار می‌رود چقدر عمر کنند
این معیار مهم است؟,این شاخص یکی از شاخص‌های سنجش پیشرفت و یا عقب‌ماندگی کشورهاست
کلمه امید به زندگی برای این معیار مناسب است؟,متوسط طول عمر به صورت عبارت «امید به زندگی» ترجمه شده و میان عوام و حتی کارشناسان جاافتاده است
بیشترین امید به زندگی برای چه کشوری است؟,ژاپن
بعد از ژاپن چطور؟,هنگ کنگ، ایسلند، سوییس و استرالیا
امید به زندگی در هنگ‌کنگ چقدر است؟,حدود ۸۲ سال
کمترین اندازه این معیار مربوط به چه کشورهایی است؟,سوازیلند، موزامبیک، زیمبابوه، سیرالئون و لسوتو
امید به زندگی در ایران چقدر است؟,در زنان، ۷۴٫۶ و در مردان، ۷۲٫۱ سال
آمار ایران از متوسط جهانی بهتر است؟,نسبت به متوسط جهانی، بالاتر بوده
امید به زندگی در مردان و زنان یکسان است؟,متوسط طول عمر زنان در همهٔ جوامع، چند سال (در کل جهان چهار و نیم سال) بیشتر از مردان است
علت این موضوع چیست؟,غیرقابل‌پاسخ
جنگ داخلی اسپانیا در چه زمانی بود؟,از ۱۷ ژوئیه سال ۱۹۳۶ تا ۱ آوریل ۱۹۳۹
طرفین دعوا چه کسانی بودند؟,در این جنگ نیروهای طرفدار جناح چپ معروف به جمهوری‌خواهان از نیروهای معروف به ملی‌ها شکست خوردند
جناح چپ چه کسانی بودند؟,جمهوری خواهان، سوسیالسیت‌ها، آنارشیستها و کمونیستها
نیروهای ملی چطور؟,سلطنت طلبان، روحانیون و افسران ارتش
تلفات جنگ چقدر بود؟,یک میلیون نفر در اسپانیا کشته شدند
به اجتماع و اقتصاد اسپانیا ضربه‌ی سنگینی وارد شد؟,غیرقابل‌پاسخ
نتیجه‌ی جنگ چه شد؟,جناح چپ یا جمهوری خواهان، در سال ۱۹۳۹ در برابر قوای ژنرال فرانکو سر تسلیم فرود آوردند و وی توانست حکومت مستبدی نظیر رژیم فاشیست، در تمام کشور ایجاد نماید
فرانکو چند سال حکومت کرد؟,غیرقابل‌پاسخ
مشکل او با کاتالونیا چه بود؟,غیرقابل‌پاسخ
سرگرد چه درجه‌ای است؟,یکی از درجات افسری در نیروهای مسلح است که جایگاهی پایین‌تر از سرهنگ دوم و بالاتر از سروان دارد
هر سرگرد چند نفر زیر دست خود دارد؟,۳۰۰ تا ۱۰۰۰ سرباز
این درجه فقط در ایران معنا دارد؟,غیرقابل‌پاسخ
از چه زمانی در ایران رواج یافت؟,غیرقابل‌پاسخ
سرگرد تقریبا برابر چه درجه‌ای در نیروی دریایی است؟,درجهٔ ناخدا سومی
در نیروی هوایی چطور؟,غیرقابل‌پاسخ
هر سرگرد چه نشانی برای شناسایی دارد؟,دو خوشهٔ طلایی گندم هلالی شکل (یک ردیف خوشه)
جبرگرایی چیست؟,جبرگرایی، تعیین‌گرایی یا دترمنیسم (به انگلیسی: Determinism) یک نظریه فلسفی است که بر طبق آن هر رویدادی از جمله رفتارها و کنش‌های انسان، به صورت علی (علت و معلول) بدست زنجیرهٔ پیوسته‌ای از رخدادهای پیشین به‌طور کامل تعیین شده‌است. به عبارت دیگر، بر اساس جبرگرایی، سیستم جهان دارای نظمی علی و جبری می‌باشد که سرانجام آن تنها به یک نتیجه واحد منتهی خواهد شد
جبرگرایی یک فلسفه است؟,جبرگرایی متضاد عدم قطعیت (فلسفه) است
جبرگرایی می‌گوید که انسان در سرنوشتش دخیل نیست؟,تصور غلط بسیار رایجی که در مورد جبرگرایی وجود دارد این است که بسیاری گمان می‌کنند جبرگرایی لزوما گویای این است که بشر یا افراد هیچ تأثیری بر آینده و رویدادهای آینده ندارند. به این دیدگاه سرنوشت گرایی یا تقدیر گرایی (fatalism) گفته می‌شود
چه کسانی راجع‌ به جبرگرایی چیزی نوشته‌اند؟,کارل مارکس، فویرباخ، گئورگی پلخانف، ولادیمیر لنین، لوئی آلتوسر، آلن بدیو، آنتونیو گرامشی، فریدریش انگلس، ابن عربی، توماس هابز، اسپینوزا، لایب نیتس، دیوید هیوم، کانت، و اخیرا جان سیرله، تد هاندریخ و دانیل دنت
جبرگرایی یک مفهوم اجتماعی هم محسوب می‌شود؟,غیرقابل‌پاسخ
تولوئن چه رنگی است؟,بی‌رنگ
در آب حل می‌شود؟,نامحلول در آب
بوی آن به چه شکل است؟,بویی شبیه بوی تینرهای رنگ معمولی
مشتعل می‌شود؟,آتش‌گیری
چگالی آن چقدر است؟,غیرقابل‌پاسخ
معمولا به فرم گاز یافت می‌شود یا مایع؟,مایعی
فرمول شیمیایی آن چیست؟,C۶H۵CH۳
در آزمایشگاه چطور تولید می‌شود؟,در داخل یک لوله آزمایش بزرگ و مقاوم، ۲ml از مایع بنزن را با چند قطره از یدید متیل (CH۳I) و ۰٫۴ گرم آلومینیوم کلراید (AlCl۳) پودری شکل به آرامی حرارت دهید تا هنگامی که کاغذ تورنسل مرطوب شده در بالای لوله آزمایش، از رنگ آبی به سرخ تبدیل شده و پایان واکنش را مشخص نماید
آیا ماده‌ای خطرناک است؟,غلظت بسیار بالایی لازم است تا تنفس تولوئن منجر به مرگ شود
غلظت پایین آن چطور؟,غلظت‌های کمتر آن به راحتی بر روی سیستم عصبی تأثیر می‌گذارند. غلظت‌های کم تا متوسط تولوئن، سبب خستگی، سرگیجه، ضعف، رفتار نامتعادل، نقصان حافظه، بی‌خوابی، کم‌اشتهایی، و کم شدن دید و شنوایی می‌گردد. این حالات با از بین رفتن حضور تولوئن، کم می‌شوند
کاربردهای این ماده در کجاست؟,به عنوان یک مادهٔ اولیه و همچنین حلال شیمیایی کاربرد دارد. کاربردهای دیگر آن عبارتست از حلال رنگ، تینر رنگ، درزگیر سیلیکونی، واکنش‌گر شیمیایی، پلاستیک، جوهر چاپ، چسب، لاک و ضدعفونی‌کننده و گندزدا. همچنین می‌توان از آن برای ساخت فوم و TNT استفاده نمود
علوم انسانی چیست؟,از رشته‌های آکادمیکی (دانشگاهی) است که جنبه‌های مرتبط با ویژگی‌های تمدن انسانی را مطالعه کرده و آموزش می‌دهند
چند نمونه از این علوم را نام می‌برید؟,زبان‌های باستانی و مدرن، ادبیات، فلسفه، مذهب، هنر و موسیقی‌شناسی
در علوم انسانی از روش‌های تجربی استفاده می‌شود؟,بسیاری از شاخه‌های علوم انسانی چون مدیریت، اقتصاد، حسابداری، جغرافیا و روان‌شناسی برای تجزیه و تحلیل از برخی علوم غیرانسانی همچون ریاضیات کاربردی (در مدیریت)، آمار کاربردی و تحلیل رگرسیون (اقتصاد و روانشناسی)، GIS و سیستم‌های راداری و سنجش از دور (در جغرافیا) و سایر روش‌های تجربی استفاده می‌کنند
ستاره دریای جز کدام خانواده است؟,جانوری دو زیست [نیازمند منبع] است از شاخهٔ خارپوستان و ردهٔ ستاره‌دریاییان
در کجا یافت میشود؟,معمولا در دریاها و اقیانوس‌هایی که دارای شوری طبیعی هستند در اعماق زیاد یا آب‌های ساحلی و در محدودهٔ جزر و مد یافت می‌شوند
در آب شیرین چطور؟,در آب‌های شیرین هرگز نمی‌توان یک ستارهٔ دریایی پیدا کرد
چرا؟,آن‌ها با زندگی در آب شیرین سازگاری ندارند
در دریای خزر یافت میشود؟,در دریای خزر یا دریاچه‌های داخلی ایران هیچ گونه‌ای از ستاره‌های دریایی وجود ندارد
در خلیج فارس؟,در خلیج فارس چند گونه از آن‌ها یافت می‌شود
از چه چیزهای تغذیه میکنند؟,غیرقابل‌پاسخ
غذای چه موجوداتی هستند؟,غیرقابل‌پاسخ
این موجودات در چه دوره‌ای به وجود آمدند؟,از دورهٔ اردویسین، مربوط به دوران دیرینه‌زیستی
کعبه زرتشت در کدام مکان قرار دارد؟,روستای زنگی‌آباد شهرستان مرودشت استان فارس در ایران
به چه شکلی است؟,شکلش مکعب مستطیل است و تنها یک در ورودی دارد
بلندی آن چقدر است؟,بلندی آن حدود ۱۲ متر، که با احتساب پله‌های سه‌گانه به ۱۴٫۱۲ متر می‌رسد
جنس کعبه از چیست؟,سنگ آهک سفید
این بنا از کجا قابل دسترس است؟,از طریق جادهٔ شیراز به اصفهان قابل دسترسی است و دسترسی محلی آن از طریق جادهٔ قدیمی حاجی‌آباد-زنگی‌آباد و جادهٔ تخت جمشید-نقش رستم
بنا متعلق به کدام ارگان است؟,سازمان میراث فرهنگی، صنایع دستی و گردشگری ایران
ماکیاولیسم چیست؟,یک ویژگی شخصیتی است متمرکز بر دستکاری روان‌شناختی، بی‌عاطفه بودن و بی‌توجهی به اخلاق
ابزاری برای اندازه‌گیری این ویژگی هست؟,آزمون ماخ ۵ آنها، یک پرسش‌نامه شخصیتی ۲۰ پرسشی با مقیاس لیکرت، به ابزار و مقیاس استاندارد خودسنجشی ماکیاولیسم شخصیتی تبدیل شد. کسانی که در این مقیاس نمره بالا می‌گیرند (به اصطلاح ماخ بالا) به احتمال زیاد داری سطح فریبکاری بالا و خلق و خوی نامناسب هستند
مردان و زنان در این آزمون یکسان هستند؟,مردان در مقیاس ماخ ۵ به‌طور متوسط کمی بالاتر از زنان قرار می‌گیرند
توپ طلا را چه سازمانی اهدا می‌کند؟,مجلهٔ فرانس فوتبال
چه بازیکنی بیشترین توپ طلا را برده؟,لیونل مسی
چند بار؟,۷ توپ طلا
بعد از او کیست؟,کریستیانو رونالدو
چند بار؟,پنج بار
یوهان کرایف چند بار برده؟,سه بازیکن
کدام باشگاه‌ها بیشترین توپ طلا را دارند؟,بارسلونا و رئال مادرید
چند بار؟,هرکدام با ۱۲ برنده
چه کسانی برنده جایزه را تعیین می‌کنند؟,با پیشنهاد گابریل آنو، نویسندهٔ ورزشی، توپ طلا براساس رأی‌گیری میان روزنامه‌نگاران ورزشی به یک بازیکن فوتبال مرد که در سال اخیر بهترین عملکرد را داشته اعطا می‌شود. از سال ۱۹۵۶ تا ۲۰۰۶ میلادی همین رویه برقرار بود. پس از سال ۲۰۰۷ میلادی، سرمربی‌ها و کاپیتان‌های تیم‌های ملی نیز حق رأی پیدا کردند
در مجموعه چند رای وجود دارد؟,غیرقابل‌پاسخ
چه کسانی میتوانند این جایزه را ببرند؟,این جایزه در سال ۲۰۰۷ میلادی با توجه به اینکه همهٔ بازیکنان فوتبال حرفه‌ای از سراسر جهان واجد شرایط هستند، به یک جایزهٔ جهانی تبدیل شده‌است
قبل از ۲۰۰۷ همه نمی تواستند برنده شوند؟,در اصل، توپ طلا جایزه‌ای مختص بازیکنان اروپایی بود اما از سال ۱۹۹۵ میلادی به بعد، توپ طلا به بازیکنانی با ملیت‌های غیراروپایی که در یکی از باشگاه‌های اروپا شاغل بودند نیز تعلق گرفت
بازیکن آفریقایی این جایزه را برده؟,ژرژ وه‌آ
بازیکن چه باشگاهی بود؟,آ. ث. میلان
بازیکنی از آسیا برده است؟,غیرقابل‌پاسخ
اقیانوس تتیس چیست؟,اقیانوسی باستانی که میان قاره‌های گندوانا و لورازیا در بیشتر دوران میانه‌زیستی (پرمین بالایی تا ژوراسیک میانی) بود. انتهای غربی این اقیانوس بعدها اروپای جنوبی و آفریقای شمالی را از هم جدا کرد
الان جای آن چیست؟,امروزه تتیس جای خود را به هند، پاکستان، اندونزی و اقیانوس هند داده‌است
چگونه از بین رفت؟,بخشی از ابرقاره گوندوانا از آن جدا شد که بعدها صفحه هند-استرالیا را تشکیل داد. این بخش که به صورت مستمر به راه خود ادامه می‌داد، در پایان به اوراسیا نزدیک و نزدیک‌تر شد تا آنکه برخورد آن با اوراسیا پایان تتیس و پدید آمدن رشته کوه هیمالیا را رقم زد
چه مدت قبل؟,کمی پس از ۶۵ میلیون سال پیش تا ۵۵ میلیون سال پیش
نخستین‌بار چه کسانی از پنتاگرام استفاده کردند؟,سومریان
به چه معنا؟,به معنی گوشه
کلمه پنتاگرام از چه زبانی آمده؟,یونانی
در این زبان به چه معناست؟,پنج خط
پنتاگرام برای یونانی‌ها چه مفهومی داشته؟,سمبل دینی
برای چه کشورهای دیگری همین معنا را داشته؟,بابلی‌ها
این نماد با چه سیاره‌ای ارتباط دارد؟,سیاره ونوس (زهره)
چرا؟,غیرقابل‌پاسخ
شارل سوم فرمانروای کجا بود؟,فرانک باختری
فرانک همان فرانسه است؟,غیرقابل‌پاسخ
این پادشاه از چه سلسله‌ای بوده؟,کارولنژی‌ها
پدر و مادرش که بود؟,پسر لوئی الکن از همسرش آدلایده
او چه سنی تاج‌گذاری کرد؟,۱۴ سالگی
چگونه؟,شارل توسط گروهی از مخالفان حکومت اودو در کلیسای جامع رنس تاجگذاری کرد
تا انتهای عمر پادشاه بود؟,در ۹۲۲ بزرگان کشور بر او شوریدند و روبر یکم را بر تخت شاهی نشاندند
چگونه فوت کرد؟,در زندان
چرا به زندان افتاده بود؟,در سال پس از آن در جنگی که در سواسون درگرفت روبر کشته شد ولی شارل نیز شکست خورد. پس از آن دوک رودولف بورگوندی به شاهی برگزیده شد و شارل به زندان افتاد
در طول حکومتش مورد حمله‌ی وایکینگ‌ها قرار گرفت؟,سال ۹۱۱ میلادی، گروهی از وایکینگ‌ها به رهبری رولو، پاریس و شارتر را محاصره کردند
نتیجه چه شد؟,پس از پیروزی در نزدیکی شارتر در ۲۶ اوت، شارل تصمیم گرفت با رولو مذاکره کند که در نتیجه قرارداد سنت کلر سور اپت منعقد شد که دوک‌نشین نورماندی را ایجاد کرد
وظیفه وایکینگ‌ها در این قرارداد چه بود؟,بدین شکل نورس‌های ناحیه سن مسئول محافظت از نواحی ساحلی شمالی در برابر حملات دیگر غارت‌گران شدند
در مقابل چه دریافت کردند؟,در ازای وفاداری وایکینگ‌ها، تمام زمین‌های بین رودخانه یپته و دریا (کانال مانش) و همچنین دوک‌نشین بریتانی، به آن‌ها اعطا شد. رولو همچنین موافقت کرد که غسل تعمید بگیرد و با دختر شارل، گیزلا، ازدواج کند
گرینلند بخشی از خاک دانمارک است؟,ناحیه خودگردانی از دانمارک
چند نفر در آن زندگی میکنند؟,حدود ۵۶ هزار نفر
نژاد این جمعیت چیست؟,مردم بومی (از تبار اسکیموها) و مهاجران دانمارکی
اسکیموها از کجا امدند؟,مردم اسکیمو که نیاکانشان از کانادا آمده‌بودند
از چه تاریخی؟,دستکم در ۴۵۰۰ سال گذشته به‌طور متناوب در بخش‌هایی از گرینلند زندگی می‌کردند
دانمارکی‌ها چطور آمدند؟,گروهی از نورس‌ها (وایکینگ نروژی) که در راه ایسلند بودند راه خود را گم کرده و به کرانه‌های غیر مسکونی گرینلند رسیدند
پراکندگی جمعیت این کشور چگونه است؟,به‌جز چند نقطه محدود که محل سکونت اهالی گرینلند است دیگر مناطق این آبخوست، یخ‌زده و به‌طور کلی خالی از سکنه است
این کشور در کجاست؟,در آب‌های اقیانوس منجمد شمالی
مرکزش چیست؟,زبان کالاآلیت، نوک و به زبان دانمارکی، گودت‌هاب
شهرهای مهم دیگرش چیست؟,غیرقابل‌پاسخ
اقتصاد کشور بر چه اساسی است؟,غیرقابل‌پاسخ
کافکا اهل کجاست؟,پراگ
پراگ پایتخت چک؟,در آن زمان پراگ مرکز منطقه بوهم بود. این منطقه، یکی از سرزمین‌های متعلق به امپراتوری اتریش-مجارستان بود
او یهودی بود؟,یهودی
یهودی متعصبی بود؟,آموزش یهودی او، به انجام جشن تکلیف در سیزده سالگی و چهار بار در سال به کنیسه رفتن بهمراه پدرش محدود بود
چند خواهر و برادر داشت؟,دو برادر و سه خواهر
چندمین بچه بود؟,بزرگ‌ترین فرزند خانواده
به چه زبانی صحبت میکرد؟,کافکا آلمانی را به عنوان زبان نخست آموخت
اصالتا آلمانی بود؟,غیرقابل‌پاسخ
آثارش هم به آلمانی است؟,غیرقابل‌پاسخ
چکی هم بلد بود؟,زبان چکی را نیز کم‌وبیش و بدون نقص صحبت می‌کرد
کتاب‌هایش مشهور هستند؟,آثار کافکا در زمرهٔ تأثیرگذارترین آثار در ادبیات غرب به‌شمار می‌آیند
مشهورترینشان چیست؟,رمان کوتاه مسخ
داستان این کتاب چیست؟,غیرقابل‌پاسخ
رسوایی جنسی کلینتون با که بود؟,مونیکا لوینسکی
این شخص که بود؟,کارآموز جوان کاخ سفید
چه رابطه‌ای داشتند؟,برقراری رابطه جنسی دهانی پنهانی
این رابطه چطور برملا شد؟,موضوع در آغاز از طریق یکی از دوستان نزدیک لوینسکی فاش‌سازی شد
موضع مونیکا در این باره چه بود؟,غیرقابل‌پاسخ
کلینتون برکنار شد؟,در سال ۱۹۹۹ مجلس سنای ایالات متحده آمریکا کلینتون را به اتهام ادای شهادت دروغ و تلاش برای جلوگیری از اجرای عدالت محاکمه کرد؛ اما وی با یک رای اضافی توانست از برکناری رهایی یابد
کلینتون به این موضوع اعتراف کرد؟,هنگامیکه در مورد لویینسکی مورد سؤال قرار گرفت منکر هرگونه رابطه نامشروع با او شد
جنبش عدم تعهد چیست؟,شامل کشورهایی می‌شد که به هیچ‌یک از بلوک‌های قدرت نظام جهانی (آمریکا یا شوروی) وابستگی و تعهدی نداشتند یعنی نه در اردوگاه کمونیسم قرار داشته و نه به اردوگاه سرمایه‌داری تعلق داشتند
تعداد اعضا چقدر است؟,در سال ۲۰۱۲ در مجموع ۱۲۰ دولت عضو
در کجا ایجاد شد؟,بلگراد، پایتخت یوگسلاوی
ایجاد این نهاد فکر چه کسی بود؟,ایده تشکیل چنین گروهی تا حد زیادی به ابتکار یوسیپ بروز تیتو رئیس‌جمهور یوگسلاوی، قوام نکرومه نخستین رئیس‌جمهور غنا، جمال عبدالناصر دومین رئیس‌جمهور مصر، جواهر لعل نهرو اولین نخست‌وزیر هند احمد سوکارنو نخستین رئیس‌جمهور اندونزی و سردار محمد داود صدراعظم افغانستان شکل گرفته بود
مهم‌ترین این اشخاص در شکلگیری که بود؟,غیرقابل‌پاسخ
مهم‌ترین رکن جنبش چیست؟,«اجلاس سران
هر چند سال برگزار میشود؟,هر سه سال
چه مسائلی در آن مطرح می شود؟,غیرقابل‌پاسخ
ارکان دیگری هم هستند؟,علاوه بر آن می‌توان از اجلاس سالانه وزیران، اجلاس سالانه کارشناسان، اجلاس سالانه دفتر هماهنگی و نشست‌های تخصصی و دوره‌ای این جنبش نام برد. نشست‌های دوره‌ای جنبش در حاشیه مجمع عمومی سازمان ملل متحد و نشست‌های آژانس‌ها و سازمان‌های تخصصی این سازمان نیز قابل ذکر است
